vehicle_id,final_location_id,current_odometer_km,km_driven_this_lease_year,total_lifetime_km,annual_limit_km,overage_km,overage_ratio,total_relocations,total_relocation_cost,total_overage_cost,routes_completed,km_since_last_service,service_due
123,69,199963,1007,199963,150000,0,0.67%,0,0.00,0.00,5,1007,False
124,69,23982,1354,23982,150000,0,0.90%,0,0.00,0.00,5,1354,False
125,69,14868,1046,14868,150000,0,0.70%,0,0.00,0.00,5,1046,False
126,69,22235,537,22235,150000,0,0.36%,0,0.00,0.00,5,537,False
127,69,31257,1288,31257,150000,0,0.86%,0,0.00,0.00,5,1288,False
128,69,20999,1114,20999,150000,0,0.74%,0,0.00,0.00,5,1114,False
129,69,22289,1076,22289,150000,0,0.72%,0,0.00,0.00,5,1076,False
130,69,30316,1923,30316,150000,0,1.28%,0,0.00,0.00,5,1923,False
131,69,26042,1505,26042,150000,0,1.00%,0,0.00,0.00,5,1505,False
132,69,24242,1094,24242,150000,0,0.73%,0,0.00,0.00,5,1094,False
133,69,23067,1063,23067,150000,0,0.71%,0,0.00,0.00,5,1063,False
134,69,16574,1130,16574,150000,0,0.75%,0,0.00,0.00,5,1130,False
135,69,22038,488,22038,150000,0,0.33%,0,0.00,0.00,5,488,False
136,69,16491,1036,16491,150000,0,0.69%,0,0.00,0.00,5,1036,False
137,69,16932,365,16932,150000,0,0.24%,0,0.00,0.00,5,365,False
138,69,15278,945,15278,150000,0,0.63%,0,0.00,0.00,5,945,False
139,69,33126,561,33126,150000,0,0.37%,0,0.00,0.00,5,561,False
140,69,16307,417,16307,150000,0,0.28%,0,0.00,0.00,5,417,False
141,69,15324,1164,15324,150000,0,0.78%,0,0.00,0.00,5,1164,False
142,69,26750,1588,26750,150000,0,1.06%,0,0.00,0.00,5,1588,False
143,69,20290,131,20290,150000,0,0.09%,0,0.00,0.00,5,131,False
144,69,16581,2049,16581,150000,0,1.37%,0,0.00,0.00,5,2049,False
145,69,21066,719,21066,150000,0,0.48%,0,0.00,0.00,5,719,False
146,69,27015,1117,27015,150000,0,0.74%,0,0.00,0.00,5,1117,False
147,69,32401,316,32401,150000,0,0.21%,0,0.00,0.00,5,316,False
148,273,28059,364,28059,150000,0,0.24%,0,0.00,0.00,2,364,False
149,13,18633,429,18633,150000,0,0.29%,0,0.00,0.00,3,429,False
150,37,26341,388,26341,150000,0,0.26%,0,0.00,0.00,3,388,False
151,17,23773,406,23773,150000,0,0.27%,0,0.00,0.00,2,406,False
152,230,19422,651,19422,150000,0,0.43%,0,0.00,0.00,2,651,False
153,182,20976,303,20976,150000,0,0.20%,0,0.00,0.00,2,303,False
154,139,27363,1399,27363,150000,0,0.93%,0,0.00,0.00,3,1399,False
155,102,9844,555,9844,150000,0,0.37%,0,0.00,0.00,2,555,False
156,140,6667,432,6667,150000,0,0.29%,0,0.00,0.00,1,432,False
157,150,14663,673,14663,150000,0,0.45%,0,0.00,0.00,2,673,False
158,267,11593,195,11593,150000,0,0.13%,0,0.00,0.00,1,195,False
159,43,11679,153,11679,150000,0,0.10%,0,0.00,0.00,2,153,False
160,64,1343,230,1343,150000,0,0.15%,0,0.00,0.00,2,230,False
161,117,13265,136,13265,150000,0,0.09%,0,0.00,0.00,2,136,False
162,173,2075,415,2075,150000,0,0.28%,0,0.00,0.00,2,415,False
163,184,11368,174,11368,150000,0,0.12%,0,0.00,0.00,2,174,False
164,71,8220,252,8220,150000,0,0.17%,0,0.00,0.00,1,252,False
165,18,11602,364,11602,150000,0,0.24%,0,0.00,0.00,2,364,False
166,265,12593,397,12593,150000,0,0.26%,0,0.00,0.00,2,397,False
167,28,11504,183,11504,150000,0,0.12%,0,0.00,0.00,2,183,False
168,66,7001,201,7001,150000,0,0.13%,0,0.00,0.00,2,201,False
169,186,20583,250,20583,150000,0,0.17%,0,0.00,0.00,2,250,False
170,2,20441,194,20441,150000,0,0.13%,0,0.00,0.00,1,194,False
171,131,6743,326,6743,150000,0,0.22%,0,0.00,0.00,2,326,False
172,104,21401,401,21401,150000,0,0.27%,0,0.00,0.00,2,401,False
173,217,338348,213,338348,150000,0,0.14%,0,0.00,0.00,2,213,False
174,160,36391,454,36391,150000,0,0.30%,0,0.00,0.00,2,454,False
175,161,24651,245,24651,150000,0,0.16%,0,0.00,0.00,2,245,False
176,299,262841,268,262841,150000,0,0.18%,0,0.00,0.00,2,268,False
177,22,18076,72,18076,150000,0,0.05%,0,0.00,0.00,1,72,False
178,78,15278,751,15278,150000,0,0.50%,0,0.00,0.00,2,751,False
179,216,295837,252,295837,150000,0,0.17%,0,0.00,0.00,1,252,False
180,256,23253,518,23253,150000,0,0.35%,0,0.00,0.00,1,518,False
