vehicle_id,final_location_id,current_odometer_km,km_driven_this_lease_year,total_lifetime_km,annual_limit_km,overage_km,overage_ratio,total_relocations,total_relocation_cost,total_overage_cost,routes_completed,km_since_last_service,service_due
51,233,288148,296,288148,150000,0,0.20%,0,0.00,0.00,1,296,False
52,233,275372,193,275372,150000,0,0.13%,0,0.00,0.00,1,193,False
53,233,362384,196,362384,150000,0,0.13%,0,0.00,0.00,1,196,False
54,233,349515,160,349515,150000,0,0.11%,0,0.00,0.00,1,160,False
55,233,334772,178,334772,150000,0,0.12%,0,0.00,0.00,1,178,False
56,233,347606,217,347606,150000,0,0.14%,0,0.00,0.00,1,217,False
57,233,277114,135,277114,150000,0,0.09%,0,0.00,0.00,1,135,False
58,233,284437,261,284437,150000,0,0.17%,0,0.00,0.00,1,261,False
59,233,234681,204,234681,150000,0,0.14%,0,0.00,0.00,1,204,False
60,233,351320,336,351320,150000,0,0.22%,0,0.00,0.00,1,336,False
61,233,259966,151,259966,150000,0,0.10%,0,0.00,0.00,1,151,False
62,233,331913,216,331913,150000,0,0.14%,0,0.00,0.00,1,216,False
63,233,396958,127,396958,150000,0,0.08%,0,0.00,0.00,1,127,False
64,233,363109,252,363109,150000,0,0.17%,0,0.00,0.00,1,252,False
65,233,368044,151,368044,150000,0,0.10%,0,0.00,0.00,1,151,False
66,233,352036,245,352036,150000,0,0.16%,0,0.00,0.00,1,245,False
67,233,405950,164,405950,150000,0,0.11%,0,0.00,0.00,1,164,False
68,233,379578,210,379578,150000,0,0.14%,0,0.00,0.00,1,210,False
69,233,373122,361,373122,150000,0,0.24%,0,0.00,0.00,1,361,False
70,233,432046,172,432046,150000,0,0.11%,0,0.00,0.00,1,172,False
71,233,445565,234,445565,150000,0,0.16%,0,0.00,0.00,1,234,False
72,233,396975,136,396975,150000,0,0.09%,0,0.00,0.00,1,136,False
73,233,382838,158,382838,150000,0,0.11%,0,0.00,0.00,1,158,False
74,233,430359,194,430359,150000,0,0.13%,0,0.00,0.00,1,194,False
75,233,435998,216,435998,150000,0,0.14%,0,0.00,0.00,1,216,False
76,233,345460,0,345460,150000,0,0.00%,0,0.00,0.00,0,0,False
77,233,334935,0,334935,150000,0,0.00%,0,0.00,0.00,0,0,False
78,233,278325,0,278325,150000,0,0.00%,0,0.00,0.00,0,0,False
79,233,352260,0,352260,150000,0,0.00%,0,0.00,0.00,0,0,False
80,233,257067,0,257067,150000,0,0.00%,0,0.00,0.00,0,0,False
81,233,289069,0,289069,150000,0,0.00%,0,0.00,0.00,0,0,False
82,233,230253,0,230253,150000,0,0.00%,0,0.00,0.00,0,0,False
83,233,286612,0,286612,150000,0,0.00%,0,0.00,0.00,0,0,False
84,233,246177,0,246177,150000,0,0.00%,0,0.00,0.00,0,0,False
